HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
137,FL- SARASOTA,84.51,32,28,43,80.55,94.26,32 [28 - 43],84.51% [80.55% - 94.26%],65,8,206,05-26-2020
139,FL- ST PETERSBURG,83.83,28,25,38,80.75,91.58,28 [25 - 38],83.83% [80.75% - 91.58%],61,12,185,05-26-2020
140,FL- TALLAHASSEE,82.38,28,24,55,80.0,95.2,28 [24 - 55],82.38% [80.0% - 95.2%],64,0,410,05-26-2020
141,FL- TAMPA,85.22,112,99,148,80.96,95.7,112 [99 - 148],85.22% [80.96% - 95.7%],222,41,669,05-26-2020
142,GA- ALBANY,84.27,21,18,33,80.0,101.35,21 [18 - 33],84.27% [80.0% - 101.35%],45,0,227,05-26-2020
144,GA- ATLANTA,91.39,682,608,1032,82.81,129.51,682 [608 - 1032],91.39% [82.81% - 129.51%],1364,337,5931,05-26-2020
145,GA- AUGUSTA,81.61,14,12,31,80.0,90.02,14 [12 - 31],81.61% [80.0% - 90.02%],39,0,246,05-26-2020
146,GA- COLUMBUS,86.18,38,34,53,81.35,101.37,38 [34 - 53],86.18% [81.35% - 101.37%],77,17,269,05-26-2020
147,GA- MACON,81.45,16,13,49,80.0,98.38,16 [13 - 49],81.45% [80.0% - 98.38%],32,0,411,05-26-2020
148,GA- ROME,89.92,35,31,48,80.0,115.38,35 [31 - 48],89.92% [80.0% - 115.38%],72,0,259,05-26-2020
149,GA- SAVANNAH,82.39,21,18,43,80.34,94.29,21 [18 - 43],82.39% [80.34% - 94.29%],49,7,294,05-26-2020
151,ID- BOISE,82.12,18,16,31,80.53,89.97,18 [16 - 31],82.12% [80.53% - 89.97%],44,11,207,05-26-2020
152,ID- IDAHO FALLS,81.29,0,0,2,80.0,87.16,0 [0 - 2],81.29% [80.0% - 87.16%],5,0,33,05-26-2020
154,IL- AURORA,90.17,21,19,33,82.09,119.09,21 [19 - 33],90.17% [82.09% - 119.09%],53,11,206,05-26-2020
155,IL- BLUE ISLAND,85.14,63,57,87,81.34,98.02,63 [57 - 87],85.14% [81.34% - 98.02%],130,34,457,05-26-2020
156,IL- CHICAGO,85.08,213,191,295,81.36,97.8,213 [191 - 295],85.08% [81.36% - 97.8%],435,116,1524,05-26-2020
158,IL- ELGIN,92.32,63,57,88,83.5,122.91,63 [57 - 88],92.32% [83.5% - 122.91%],133,38,466,05-26-2020
161,IL- EVANSTON,87.31,84,76,117,81.99,105.29,84 [76 - 117],87.31% [81.99% - 105.29%],176,48,611,05-26-2020
163,IL- HINSDALE,87.54,35,32,52,81.82,107.18,35 [32 - 52],87.54% [81.82% - 107.18%],82,20,299,05-26-2020
164,IL- JOLIET,88.96,56,50,79,81.66,111.83,56 [50 - 79],88.96% [81.66% - 111.83%],118,22,422,05-26-2020
166,IL- MELROSE PARK,87.4,112,101,156,81.87,106.37,112 [101 - 156],87.4% [81.87% - 106.37%],229,58,816,05-26-2020
170,IL- PEORIA,81.41,7,6,18,80.0,88.71,7 [6 - 18],81.41% [80.0% - 88.71%],26,0,162,05-26-2020
171,IL- ROCKFORD,86.79,49,44,71,81.44,103.84,49 [44 - 71],86.79% [81.44% - 103.84%],103,22,365,05-26-2020
172,IL- SPRINGFIELD,80.37,0,0,12,80.0,85.82,0 [0 - 12],80.37% [80.0% - 85.82%],9,0,148,05-26-2020
173,IL- URBANA,80.91,0,0,6,80.0,87.41,0 [0 - 6],80.91% [80.0% - 87.41%],9,0,77,05-26-2020
175,IL- BLOOMINGTON,83.49,0,0,5,80.0,105.09,0 [0 - 5],83.49% [80.0% - 105.09%],9,0,67,05-26-2020
179,IN- EVANSVILLE,81.51,14,12,30,80.0,88.9,14 [12 - 30],81.51% [80.0% - 88.9%],30,0,182,05-26-2020
180,IN- FORT WAYNE,83.12,36,30,75,80.0,103.92,36 [30 - 75],83.12% [80.0% - 103.92%],68,0,529,05-26-2020
181,IN- GARY,97.42,132,117,164,84.45,124.89,132 [117 - 164],97.42% [84.45% - 124.89%],262,67,676,05-26-2020
183,IN- INDIANAPOLIS,95.82,504,439,682,81.43,130.49,504 [439 - 682],95.82% [81.43% - 130.49%],1015,92,3240,05-26-2020
184,IN- LAFAYETTE,88.74,31,26,42,80.0,106.05,31 [26 - 42],88.74% [80.0% - 106.05%],64,0,193,05-26-2020
185,IN- MUNCIE,88.33,14,12,23,80.0,112.94,14 [12 - 23],88.33% [80.0% - 112.94%],34,0,138,05-26-2020
186,IN- MUNSTER,92.4,70,63,88,83.29,112.24,70 [63 - 88],92.4% [83.29% - 112.24%],143,38,372,05-26-2020
187,IN- SOUTH BEND,88.34,63,57,91,81.96,109.04,63 [57 - 91],88.34% [81.96% - 109.04%],127,30,444,05-26-2020
188,IN- TERRE HAUTE,85.72,14,12,17,80.0,92.99,14 [12 - 17],85.72% [80.0% - 92.99%],30,0,70,05-26-2020
190,IA- CEDAR RAPIDS,83.4,14,13,25,80.81,96.76,14 [13 - 25],83.4% [80.81% - 96.76%],37,9,187,05-26-2020
191,IA- DAVENPORT,80.84,7,6,13,80.0,84.81,7 [6 - 13],80.84% [80.0% - 84.81%],18,0,107,05-26-2020
192,IA- DES MOINES,82.11,34,30,58,80.27,90.84,34 [30 - 58],82.11% [80.27% - 90.84%],69,9,357,05-26-2020
193,IA- DUBUQUE,84.57,13,12,17,81.1,94.5,13 [12 - 17],84.57% [81.1% - 94.5%],24,6,79,05-26-2020
194,IA- IOWA CITY,81.9,14,13,24,80.46,88.9,14 [13 - 24],81.9% [80.46% - 88.9%],36,9,173,05-26-2020
195,IA- MASON CITY,80.0,0,0,2,80.0,83.68,0 [0 - 2],80.0% [80.0% - 83.68%],0,0,27,05-26-2020
196,IA- SIOUX CITY,81.05,4,3,10,80.0,87.6,4 [3 - 10],81.05% [80.0% - 87.6%],11,0,86,05-26-2020
197,IA- WATERLOO,81.47,0,0,5,80.0,91.27,0 [0 - 5],81.47% [80.0% - 91.27%],9,0,72,05-26-2020
200,KS- TOPEKA,80.0,0,0,2,80.0,82.46,0 [0 - 2],80.0% [80.0% - 82.46%],0,0,38,05-26-2020
201,KS- WICHITA,80.74,14,12,17,80.0,81.47,14 [12 - 17],80.74% [80.0% - 81.47%],36,0,73,05-26-2020
203,KY- COVINGTON,89.91,49,43,66,80.0,108.79,49 [43 - 66],89.91% [80.0% - 108.79%],109,0,317,05-26-2020
204,KY- LEXINGTON,82.83,70,63,195,80.69,112.44,70 [63 - 195],82.83% [80.69% - 112.44%],147,36,1689,05-26-2020
205,KY- LOUISVILLE,86.63,154,138,282,81.52,117.6,154 [138 - 282],86.63% [81.52% - 117.6%],319,73,1811,05-26-2020
207,KY- OWENSBORO,80.0,0,0,10,80.0,103.94,0 [0 - 10],80.0% [80.0% - 103.94%],0,0,113,05-26-2020
208,KY- PADUCAH,80.0,0,0,16,80.0,90.67,0 [0 - 16],80.0% [80.0% - 90.67%],0,0,173,05-26-2020
209,LA- ALEXANDRIA,80.95,0,0,6,80.0,88.48,0 [0 - 6],80.95% [80.0% - 88.48%],9,0,84,05-26-2020
210,LA- BATON ROUGE,85.13,63,57,104,81.77,107.42,63 [57 - 104],85.13% [81.77% - 107.42%],127,44,680,05-26-2020
212,LA- HOUMA,86.26,21,19,30,82.28,105.82,21 [19 - 30],86.26% [82.28% - 105.82%],43,16,181,05-26-2020
213,LA- LAFAYETTE,81.88,14,13,32,80.42,91.7,14 [13 - 32],81.88% [80.42% - 91.7%],40,9,253,05-26-2020
214,LA- LAKE CHARLES,81.08,0,0,5,80.0,88.21,0 [0 - 5],81.08% [80.0% - 88.21%],9,0,71,05-26-2020
216,LA- METAIRIE,89.49,42,38,59,82.47,112.34,42 [38 - 59],89.49% [82.47% - 112.34%],95,25,327,05-26-2020
217,LA- MONROE,81.01,0,0,5,80.0,87.46,0 [0 - 5],81.01% [80.0% - 87.46%],9,0,69,05-26-2020
218,LA- NEW ORLEANS,85.34,56,51,78,81.65,97.69,56 [51 - 78],85.34% [81.65% - 97.69%],129,40,429,05-26-2020
