HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
444,WV- HUNTINGTON,80,0,0,1,76.8,83.2,04-27-2020
445,WV- MORGANTOWN,80,0,0,4,76.8,83.2,04-27-2020
446,WI- APPLETON,82,7,6,11,78.72,85.28,04-27-2020
447,WI- GREEN BAY,81,14,12,17,77.76,84.24,04-27-2020
448,WI- LA CROSSE,83,14,12,22,79.68,86.32,04-27-2020
449,WI- MADISON,88,107,95,132,84.48,91.52,04-27-2020
450,WI- MARSHFIELD,80,0,0,3,76.8,83.2,04-27-2020
451,WI- MILWAUKEE,88,313,279,376,84.48,91.52,04-27-2020
452,WI- NEENAH,84,7,6,9,80.64,87.36,04-27-2020
456,WI- WAUSAU,80,0,0,0,76.8,83.2,04-27-2020
457,WY- CASPER,84,14,13,16,80.64,87.36,04-27-2020
303,NY- NEW YORK,134,3131,2815,3580,128.64,139.36,04-27-2020
