HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
431,VA- RICHMOND,80,270,230,272,04-08-2020
432,VA- ROANOKE,80,0,0,0,04-08-2020
435,VA- WINCHESTER,80,17,14,17,04-08-2020
437,WA- EVERETT,141,3456,2980,3486,04-08-2020
438,WA- OLYMPIA,94,624,531,629,04-08-2020
439,WA- SEATTLE,115,13262,11424,13379,04-08-2020
440,WA- SPOKANE,83,929,795,937,04-08-2020
441,WA- TACOMA,116,2903,2487,2929,04-08-2020
442,WA- YAKIMA,87,262,224,264,04-08-2020
443,WV- CHARLESTON,80,0,0,0,04-08-2020
444,WV- HUNTINGTON,80,0,0,0,04-08-2020
445,WV- MORGANTOWN,80,0,0,0,04-08-2020
446,WI- APPLETON,80,28,25,28,04-08-2020
447,WI- GREEN BAY,80,10,8,10,04-08-2020
448,WI- LA CROSSE,80,12,10,12,04-08-2020
449,WI- MADISON,82,459,393,463,04-08-2020
450,WI- MARSHFIELD,80,0,0,0,04-08-2020
451,WI- MILWAUKEE,83,1832,1571,1848,04-08-2020
452,WI- NEENAH,81,44,38,44,04-08-2020
456,WI- WAUSAU,80,0,0,0,04-08-2020
457,WY- CASPER,80,49,43,49,04-08-2020
303,NY- NEW YORK,118,40487,34884,40844,04-08-2020
