HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
375,TN- JOHNSON CITY,81.8,7,6,11,80.0,87.13,7 [6 - 11],81.8% [80.0% - 87.13%],16,0,67,05-18-2020
376,TN- KINGSPORT,80.35,0,0,13,80.0,87.8,0 [0 - 13],80.35% [80.0% - 87.8%],7,0,155,05-18-2020
377,TN- KNOXVILLE,81.04,21,19,36,80.17,85.34,21 [19 - 36],81.04% [80.17% - 85.34%],43,7,223,05-18-2020
379,TN- MEMPHIS,84.39,133,119,170,80.98,92.2,133 [119 - 170],84.39% [80.98% - 92.2%],277,62,771,05-18-2020
380,TN- NASHVILLE,86.06,250,225,344,81.88,100.63,250 [225 - 344],86.06% [81.88% - 100.63%],518,161,1765,05-18-2020
382,TX- ABILENE,82.24,14,13,24,80.0,90.02,14 [13 - 24],82.24% [80.0% - 90.02%],29,0,133,05-18-2020
383,TX- AMARILLO,82.75,16,15,26,81.26,90.72,16 [15 - 26],82.75% [81.26% - 90.72%],41,19,161,05-18-2020
385,TX- AUSTIN,111.62,564,506,677,89.86,154.99,564 [506 - 677],111.62% [89.86% - 154.99%],1106,345,2623,05-18-2020
386,TX- BEAUMONT,88.91,64,57,80,82.19,102.55,64 [57 - 80],88.91% [82.19% - 102.55%],122,30,309,05-18-2020
388,TX- BRYAN,103.41,70,63,85,84.74,133.59,70 [63 - 85],103.41% [84.74% - 133.59%],143,29,328,05-18-2020
390,TX- CORPUS CHRISTI,85.91,61,54,80,80.93,96.37,61 [54 - 80],85.91% [80.93% - 96.37%],121,19,336,05-18-2020
391,TX- DALLAS,100.71,1352,1215,1616,87.08,127.18,1352 [1215 - 1616],100.71% [87.08% - 127.18%],2536,867,5777,05-18-2020
393,TX- EL PASO,88.96,129,116,162,82.99,103.1,129 [116 - 162],88.96% [82.99% - 103.1%],246,82,634,05-18-2020
