HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
152,ID- IDAHO FALLS,85.73,23,23,24,84.77,86.72,23 [23 - 24],85.73% [84.77% - 86.72%],26,22,31,09-08-2020
154,IL- AURORA,85.09,21,21,22,84.74,85.69,21 [21 - 22],85.09% [84.74% - 85.69%],26,25,30,09-08-2020
155,IL- BLUE ISLAND,83.2,77,77,78,82.92,83.39,77 [77 - 78],83.2% [82.92% - 83.39%],81,74,86,09-08-2020
156,IL- CHICAGO,83.14,265,261,268,82.86,83.35,265 [261 - 268],83.14% [82.86% - 83.35%],268,245,287,09-08-2020
158,IL- ELGIN,86.97,70,70,72,86.17,87.46,70 [70 - 72],86.97% [86.17% - 87.46%],75,67,81,09-08-2020
161,IL- EVANSTON,84.43,105,104,106,84.06,84.72,105 [104 - 106],84.43% [84.06% - 84.72%],107,98,114,09-08-2020
163,IL- HINSDALE,84.55,48,48,49,84.0,84.82,48 [48 - 49],84.55% [84.0% - 84.82%],50,44,53,09-08-2020
164,IL- JOLIET,88.28,108,107,110,87.39,89.2,108 [107 - 110],88.28% [87.39% - 89.2%],109,98,122,09-08-2020
166,IL- MELROSE PARK,84.33,132,130,134,83.91,84.62,132 [130 - 134],84.33% [83.91% - 84.62%],133,121,143,09-08-2020
170,IL- PEORIA,84.21,73,71,79,83.34,85.33,73 [71 - 79],84.21% [83.34% - 85.33%],78,62,99,09-08-2020
171,IL- ROCKFORD,86.8,100,98,103,86.01,87.77,100 [98 - 103],86.8% [86.01% - 87.77%],104,92,119,09-08-2020
172,IL- SPRINGFIELD,88.25,206,198,227,86.48,91.87,206 [198 - 227],88.25% [86.48% - 91.87%],209,165,302,09-08-2020
173,IL- URBANA,107.84,286,276,307,101.08,116.19,286 [276 - 307],107.84% [101.08% - 116.19%],289,219,376,09-08-2020
175,IL- BLOOMINGTON,189.56,290,277,309,163.15,220.45,290 [277 - 309],189.56% [163.15% - 220.45%],292,222,375,09-08-2020
179,IN- EVANSVILLE,87.79,155,148,165,85.82,89.73,155 [148 - 165],87.79% [85.82% - 89.73%],159,119,199,09-08-2020
180,IN- FORT WAYNE,83.76,81,77,87,83.12,84.97,81 [77 - 87],83.76% [83.12% - 84.97%],83,69,110,09-08-2020
