HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
220,LA- SLIDELL,89.66,47,44,56,84.17,100.44,47 [44 - 56],89.66% [84.17% - 100.44%],48,21,103,05-26-2020
221,ME- BANGOR,80.61,3,3,5,80.09,81.83,3 [3 - 5],80.61% [80.09% - 81.83%],6,1,20,05-26-2020
222,ME- PORTLAND,82.06,49,46,62,80.8,85.07,49 [46 - 62],82.06% [80.8% - 85.07%],53,21,133,05-26-2020
223,MD- BALTIMORE,88.34,559,511,681,84.18,100.13,559 [511 - 681],88.34% [84.18% - 100.13%],562,282,1358,05-26-2020
225,MD- SALISBURY,84.64,40,36,51,82.13,92.27,40 [36 - 51],84.64% [82.13% - 92.27%],43,20,115,05-26-2020
226,MD- TAKOMA PARK,102.77,289,272,335,93.52,124.44,289 [272 - 335],102.77% [93.52% - 124.44%],293,174,572,05-26-2020
227,MA- BOSTON,84.13,451,403,550,81.23,90.19,451 [403 - 550],84.13% [81.23% - 90.19%],453,135,1119,05-26-2020
230,MA- SPRINGFIELD,82.7,42,38,52,80.69,86.81,42 [38 - 52],82.7% [80.69% - 86.81%],43,11,109,05-26-2020
231,MA- WORCESTER,84.13,63,58,79,81.34,90.48,63 [58 - 79],84.13% [81.34% - 90.48%],67,22,172,05-26-2020
232,MI- ANN ARBOR,80.98,29,26,42,80.31,83.68,29 [26 - 42],80.98% [80.31% - 83.68%],32,10,120,05-26-2020
233,MI- DEARBORN,80.86,10,9,15,80.24,82.98,10 [9 - 15],80.86% [80.24% - 82.98%],14,4,49,05-26-2020
234,MI- DETROIT,81.0,42,38,59,80.28,83.48,42 [38 - 59],81.0% [80.28% - 83.48%],46,13,162,05-26-2020
235,MI- FLINT,80.71,6,6,11,80.0,82.79,6 [6 - 11],80.71% [80.0% - 82.79%],9,0,37,05-26-2020
236,MI- GRAND RAPIDS,80.2,0,0,2,80.0,80.87,0 [0 - 2],80.2% [80.0% - 80.87%],4,0,20,05-26-2020
238,MI- KALAMAZOO,80.0,0,0,1,80.0,80.74,0 [0 - 1],80.0% [80.0% - 80.74%],0,0,11,05-26-2020
239,MI- LANSING,80.3,0,0,3,80.0,81.76,0 [0 - 3],80.3% [80.0% - 81.76%],4,0,27,05-26-2020
240,MI- MARQUETTE,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,05-26-2020
242,MI- MUSKEGON,80.0,0,0,0,80.0,80.93,0 [0 - 0],80.0% [80.0% - 80.93%],0,0,5,05-26-2020
243,MI- PETOSKEY,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,05-26-2020
244,MI- PONTIAC,81.03,7,7,12,80.25,83.55,7 [7 - 12],81.03% [80.25% - 83.55%],12,3,42,05-26-2020
245,MI- ROYAL OAK,80.77,16,14,24,80.23,82.69,16 [14 - 24],80.77% [80.23% - 82.69%],20,6,71,05-26-2020
246,MI- SAGINAW,80.0,0,0,1,80.0,80.48,0 [0 - 1],80.0% [80.0% - 80.48%],0,0,10,05-26-2020
248,MI- ST JOSEPH,81.13,0,0,0,80.0,80.99,0 [0 - 0],81.13% [80.0% - 80.99%],3,0,3,05-26-2020
249,MI- TRAVERSE CITY,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,05-26-2020
250,MN- DULUTH,80.78,7,7,11,80.34,82.75,7 [7 - 11],80.78% [80.34% - 82.75%],9,4,32,05-26-2020
251,MN- MINNEAPOLIS,84.91,415,373,523,81.6,92.65,415 [373 - 523],84.91% [81.6% - 92.65%],417,136,1077,05-26-2020
253,MN- ROCHESTER,82.41,58,52,74,80.73,85.96,58 [52 - 74],82.41% [80.73% - 85.96%],62,19,155,05-26-2020
254,MN- ST CLOUD,83.98,27,24,34,80.85,90.47,27 [24 - 34],83.98% [80.85% - 90.47%],28,6,74,05-26-2020
