HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
379,TN- MEMPHIS,94,6370,6141,7084,90.24,97.76,04-21-2020
380,TN- NASHVILLE,117,21830,20712,23355,112.32,121.68,04-21-2020
382,TX- ABILENE,80,0,0,0,76.8,83.2,04-21-2020
383,TX- AMARILLO,80,0,0,0,76.8,83.2,04-21-2020
385,TX- AUSTIN,107,6706,6429,7264,102.72,111.28,04-21-2020
386,TX- BEAUMONT,83,318,264,354,79.68,86.32,04-21-2020
388,TX- BRYAN,95,654,643,732,91.2,98.8,04-21-2020
390,TX- CORPUS CHRISTI,80,0,0,66,76.8,83.2,04-21-2020
391,TX- DALLAS,101,18608,17626,19837,96.96,105.04,04-21-2020
393,TX- EL PASO,86,1176,1097,1330,82.56,89.44,04-21-2020
394,TX- FORT WORTH,101,7348,6959,7761,96.96,105.04,04-21-2020
396,TX- HARLINGEN,87,700,600,700,83.52,90.48,04-21-2020
397,TX- HOUSTON,96,18959,18002,20088,92.16,99.84,04-21-2020
399,TX- LONGVIEW,80,0,0,57,76.8,83.2,04-21-2020
400,TX- LUBBOCK,83,588,588,633,79.68,86.32,04-21-2020
402,TX- MCALLEN,84,469,402,469,80.64,87.36,04-21-2020
406,TX- ODESSA,80,0,0,0,76.8,83.2,04-21-2020
411,TX- SAN ANGELO,80,0,0,0,76.8,83.2,04-21-2020
412,TX- SAN ANTONIO,118,18971,17942,20159,113.28,122.72,04-21-2020
413,TX- TEMPLE,92,823,813,904,88.32,95.68,04-21-2020
416,TX- TYLER,85,617,612,681,81.6,88.4,04-21-2020
417,TX- VICTORIA,80,0,0,0,76.8,83.2,04-21-2020
418,TX- WACO,107,1162,1080,1207,102.72,111.28,04-21-2020
420,TX- WICHITA FALLS,83,108,103,192,79.68,86.32,04-21-2020
421,UT- OGDEN,117,1877,1787,2059,112.32,121.68,04-21-2020
422,UT- PROVO,117,2336,2231,2457,112.32,121.68,04-21-2020
423,UT- SALT LAKE CITY,110,8297,7813,8741,105.6,114.4,04-21-2020
424,VT- BURLINGTON,110,3331,2977,3609,105.6,114.4,04-21-2020
426,VA- ARLINGTON,183,20599,19670,22074,175.68,190.32,04-21-2020
427,VA- CHARLOTTESVILLE,80,0,0,81,76.8,83.2,04-21-2020
428,VA- LYNCHBURG,80,0,0,0,76.8,83.2,04-21-2020
429,VA- NEWPORT NEWS,131,4086,3879,4218,125.76,136.24,04-21-2020
430,VA- NORFOLK,100,3889,3743,4138,96.0,104.0,04-21-2020
431,VA- RICHMOND,97,5526,5446,6046,93.12,100.88,04-21-2020
432,VA- ROANOKE,80,0,0,0,76.8,83.2,04-21-2020
435,VA- WINCHESTER,286,10182,8252,15173,274.56,297.44,04-21-2020
437,WA- EVERETT,200,6604,6323,6947,192.0,208.0,04-21-2020
438,WA- OLYMPIA,112,1493,1423,1589,107.52,116.48,04-21-2020
439,WA- SEATTLE,150,25573,24494,26948,144.0,156.0,04-21-2020
440,WA- SPOKANE,96,4334,4036,4585,92.16,99.84,04-21-2020
441,WA- TACOMA,151,6008,5738,6355,144.96,157.04,04-21-2020
442,WA- YAKIMA,97,696,655,732,93.12,100.88,04-21-2020
443,WV- CHARLESTON,80,0,0,0,76.8,83.2,04-21-2020
444,WV- HUNTINGTON,80,0,0,0,76.8,83.2,04-21-2020
445,WV- MORGANTOWN,80,7,7,8,76.8,83.2,04-21-2020
446,WI- APPLETON,87,308,308,319,83.52,90.48,04-21-2020
447,WI- GREEN BAY,82,322,309,354,78.72,85.28,04-21-2020
448,WI- LA CROSSE,84,308,264,309,80.64,87.36,04-21-2020
449,WI- MADISON,106,5542,5311,5888,101.76,110.24,04-21-2020
450,WI- MARSHFIELD,80,0,0,0,76.8,83.2,04-21-2020
451,WI- MILWAUKEE,107,15798,15125,16832,102.72,111.28,04-21-2020
452,WI- NEENAH,90,406,406,446,86.4,93.6,04-21-2020
456,WI- WAUSAU,80,0,0,0,76.8,83.2,04-21-2020
457,WY- CASPER,91,484,481,542,87.36,94.64,04-21-2020
303,NY- NEW YORK,364,295176,282570,311079,349.44,378.56,04-21-2020
